titulo_puesto,empresa,descripcion_puesto,modalidad,salario,localidad,fecha_posteo,nivel_de_experiencia,tipo_empleo,pais,latitud,longitud
Analista de Governança de Dados Jr,Unimed Campinas,"A Unimed Campinas acredita no poder da diversidade para juntos conectarmos experiências, promovendo a troca e fazermos a diferença no propósito de cuidar das pessoas! Por isso, não fazemos distinção para candidatos com deficiência, gênero, orientação sexual, raça/etnia, idade, etc. Todos são bem vindos!! Quer fazer parte? Então confira a oportunidade abaixo!Atividades:- Apoiar na criação e manutenção de políticas de governança de dados;- Identificar melhorias contínuas nos processos e modelos em relação ao uso de dados;- Realizar análise da viabilidade técnica/qualidade das soluções de dados a serem propostas;- Definir e apoiar padrões de documentação, catalogação e classificação de metadados;- Apoiar no desenvolvimento de dicionário de dados corporativos e regras de negócio;- Apoiar na coordenação das atividades de qualidade de dados em conjunto com a área de negócio;- Disseminar o conhecimento e importância do tema de qualidade de dados;- Apoio aos times de dados da empresa em definição de regras, segurança, métricas e qualidade dos dados.Requisitos: - Superior cursando em Ciências da Computação, Engenharia da Computação, Sistemas da Informação ou áreas correlatas;- Desejável experiência anterior em áreas de processos e/ou qualidade;- Desejável conhecimento em métodos de melhoria contínua de processos, estrutura e arquitetura de dados e conceitos e boas práticas de qualidade de dados;- Desejável conhecimento em metodologia ágil;- Desejável conhecimento com governança de dados;Quais são os benefícios:Assistência médicaAssistência odontológicaAuxílio estacionamentoConsignadoGympassPrograma de treinamentosSeguro de vidaVale-refeiçãoVale-transporteLocalização: Campinas – SP",onsite,0,Greater Campinas,2023-03-23,Junio,Fulltime,Greater Campinas,53.4144315,-2.0830079
Analista de Dados JR - HS Financeira,Grupo Herval,"Vamos juntos fazer do Grupo Herval cada vez maior? O Grupo Herval é uma empresa gaúcha fundada em 1959. Com sede na cidade de Dois Irmãos, integra segmentos diferenciados e está presente em todas as regiões do país. Atualmente são 20 marcas que incluem indústria, comércio e serviços – consórcios, seguros, construção e financeira.Para sustentar nossas marcas e nosso crescimento, buscamos pessoas engajadas com nossos negócios, que busquem concentrar seus esforços para superar expectativas dos clientes internos e externos!Oportunidade para atuação como Analista de Dados na cidade de Dois Irmãos/RS. Venha fazer parte da equipe da HS Financeira.Responsabilidades e atribuiçõesGarantir a disponibilidade de indicadores, por meio do desenvolvimento e análise de dados, criação de dashboards;Apoiar no desenvolvimento de modelos preditivos, mediante a construção de correlações de dados relacionados à risco de crédito;Sustentar as tomadas de decisões, por meio do fornecimento de análises em relação aos indicadores de risco de crédito;Contribuir com a melhoria de políticas de crédito, por meio de análises de dados, levantamento de oportunidades e proposição de adequações;Colaborar com a construção e automação de processos e controles, mediante a identificação de oportunidades e proposição de soluções.Requisitos e qualificaçõesEnsino Superior concluído ou em andamento em Engenharias, Economia, Matemática, Estatística ou áreas afins;Experiência em análise de dados e criação de Dashboard;Excel avançado.SERÁ CONSIDERADO UM DIFERENCIAL:Inglês e Espanhol;Conhecimentos em SQL, Python, R e Power BI;Conhecimento de riscos de crédito massificado.Informações adicionaisO QUE OFERECEMOS:Refeitório na empresa;Ambiente colaborativo;Vale Transporte;Descontos pela associação de funcionários;Benefícios específicos de instituição financeira.O Grupo Herval busca valorizar a diversidade e está aberto a receber pessoas com quaisquer deficiências, etnia, gênero, orientação sexual, geração e diferentes mindsets.",onsite,0,Brazil,2023-02-18,0,Fulltime,Brazil,-10.3333333,-53.2
Analista de Dados Júnior,Sioux digital 1:1,"Você curte trabalhar com dados? E que tal ser a nossa pessoa guardiã deles?Procuramos alguém que tenha curiosidade e paixão por resolver problemas, entender cenários através de dados, atenção aos detalhes e interesse genuíno no tema de Diversidade e Inclusão.Vaga afirmativa para grupos minorizados; pessoas negras, trans, com deficência, refugiadas.Responsabilidades e atribuiçõesÉ responsável pela consistência, melhoria e atualização dos relatórios gerados para clientes e mercados;Garantir que os padrões de segurança da informação estejam sendo seguidos internamente e externamente;Criar, documentar e implantar novos cruzamentos e visões relevantes de análise na base de dados;Fornecer os dados necessários para confecção de relatórios, artigos, análises e discussões relevantes para os projetos;Estruturar novas tabelas e visões Power BI;Responsável pela criação e controle das pesquisas na plataforma;Manutenção, atualização e consistência da base de questionário;Carga das informações preliminares, disparo e envio de lembretes de pesquisa;Conhece, advoga e pratica todos os principais padrões de proteção e segurança de dados, comunicando o mais rápido possível à liderança quaisquer vulnerabilidades e desvios seja na consistência de sistemas, seja no comportamento de alguma parte envolvida no projeto (clientes inclusive);Facilitar treinamentos e palestras;Contribuir com ideias e experimentações;Conhece todos os pontos de coleta e métricas;Participar ativamente das discussões e revisões dos projetos de outros membros do time.Ensino superior cursando ou completo;Conhecimento sobre a temática de Diversidade e Inclusão;Pacote Office avançado;Ter visão holística sobre projetos e contextos;DiferenciaisPower BI;Experiência prévia em D&I;Trabalhar ou já ter trabalhado com People Analytics ou RH.",onsite,0,Brazil,2023-03-23,Ayudante,Fulltime,Brazil,-10.3333333,-53.2
Analista de Dados Jr,GRUPO SEB,"O Centro Universitário UniDomBosco se compromete inicialmente com a qualidade do ensino, buscando oferecer educação superior de excelência acadêmica. Tal fato ilumina o objeto dos esforços institucionais, o acadêmico. Entende-se que educação de excelência não se resume a instalações de qualidade, aplicação de tecnologia aos processos de ensino/aprendizagem ou a presença de professores titulados.Educação de excelência, implica na otimização de todos os recursos listados acima para motivar o acadêmico a descobrir suas potencialidades e desenvolvê-las. Tal integração somente é possível com projetos pedagógicos fundados nos princípios de qualidade que sempre permearam o espírito do Grupo UniDomBosco (seriedade, competência, consciência e dedicação).Conheça mais: https://www.unidombosco.edu.brResponsabilidades e atribuiçõesElaboração de dados a partir de banco de dados acadêmicosExtração de relatórios do sistema acadêmico, gerando informações gerenciais para tomada de decisãoGeração de bases para clientes internos (comercial, acadêmico e operações polo)Demais atividades inerentes ao cargo.Requisitos e qualificaçõesEnsino superior completo em Administração, Estatística, Economia, Ciência de Dados e/ou áreas afinsPacote Office - Excel avançado; Power BIConhecimento em ERP.Informações adicionaisVaga para: Curitiba/PR.Horário de trabalho: de segunda a sexta das 08h00 às 17h48min c/ 1 hora de intervalo. (44 horas semanais)Benefícios: Assistência Médica; Assistência Odontológica; Seguro de Vida e Vale transporte.",onsite,0,Brazil,2023-02-21,0,Fulltime,Brazil,-10.3333333,-53.2
Analista de Dados Junior e Pleno,Mottu,"Nascemos para transformar a vida de milhares de pessoas, provendo as ferramentas e o caminho para quem enfrenta a indiferença e supera cada obstáculo para conquistar os seus sonhos.Pautados nos firmes sensos de propósito, urgência e ownership, somos uma das startups que cresce mais rápido em toda a América Latina.Já são mais de 25.000 clientes alugando nossas motos e mais de 500 empresas utilizando o Mottu Entregas como solução de delivery – para realizar mais de 200.000 entregas mensalmente,em mais de 25 cidades do Brasil e também na Cidade do México.Grandes investidores já acreditam no nosso sonho, como Base Partners, Crankstart e Tiger Global. E você, quer construir a Mottu conosco?Nossa área de Analytics está em busca de Analista/Especialista de dados sênior para liderar a construção de soluções analíticas e construir visões que conectem as áreas asoportunidades de geração de resultados.Responsabilidades e atribuiçõesLiderar soluções em dados que respondam perguntas relevantes e tragam a transparência dos cenários mediante a interpretação das informações compiladas;Modelar dados no ambiente analítico contruindo jobs ETL baseados em SQL.Implementar produtos de inteligência de dados como relatórios, dashboards e estudos preditivos. Capacidade de embasar recomendações estratégicas a partir de análise de dados;Requisitos e qualificaçõesMínimo de 1 ano de experiência comprovada em analise de dados.Capacidade em análise de dados para geração de relatórios e acompanhamento dos indicadores da empresa;Conhecimento com ferramentas de BI (ex.: Power BI, Tableau, ou similares) na construção de dashboards;Experiência em criação e execução de consultas SQL avançado; Excel intermediário/avançado.Pensamento crítico e analítico, boa comunicação e capacidade de resolução de problemas;Ter um perfil proativo, mão na massa e engajado para alavancar os resultados da empresa usando os dados para potencializar as tomadas de decisões;Conhecimento em linguagens voltadas a processamento de dados são um diferencial (ex.: Python, R).",onsite,0,Brazil,2023-03-04,0,Fulltime,Brazil,-10.3333333,-53.2
Líder de Análisis de Datos - Trabajo Remoto,BairesDev,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Líder de Análisis de Datos en BairesDevEstamos buscando un Líder de Análisis de Datos para unirse a nuestro equipo. Este profesional será responsable de mantener la integridad de nuestro proceso de datos, incluyendo la creación, adquisición, flujo y procesamiento.Actividades Principales Realizar análisis de datos, navegar y revisar grandes conjuntos de datos, aprender e investigar funciones de gestión de datos, de aplicaciones e informar. Realizar investigaciones sobre la supervisión y las alertas/escaladas generadas por el sistema en relación con posibles fallos en el entorno de servicio. Interactuar con ingenieros técnicos internos y proveedores externos para solucionar problemas complejos. Aplicar y desarrollar conocimientos de tecnología publicitaria, especialmente operaciones de DSP, y procesos de publicidad digital. Ayudar a definir y probar la automatización de procesos manuales. Realizar un seguimiento diario, semanal y mensual de los informes y flujos de trabajo para garantizar que no se interrumpan las operaciones. Colaborar con equipos como los de desarrollo, gestión de productos y finanzas para investigar y resolver errores de cálculo de datos comunicados por los usuarios. Apoyar las necesidades de facturación financiera mediante la comprensión de la facturación y los informes en múltiples mercados/países, proporcionando apoyo avanzado a los usuarios internos y externos. Crear, mantener y documentar soluciones de software/aplicación y datos.¿Qué Buscamos?: Licenciatura en Informática o título relacionado con STEM. 3+ años de experiencia laboral en un puesto de gestión de datos, dando soporte a soluciones de datos complejas. Experiencia trabajando con análisis de datos en el sector de los medios publicitarios digitales. Experiencia liderando, guiando y asistiendo a otros miembros del equipo - fuerte jugador de equipo, capaz de trabajar en un entorno multicultural y global con miembros del equipo ubicados remotamente. Experiencia de trabajo con SQL y conocimientos avanzados de Microsoft Excel. Capacidad para distinguir entre problemas críticos y no críticos (gran capacidad de triaje y resolución de problemas). Experiencia trabajando con necesidades financieras y de facturación. Excelentes habilidades de comunicación escrita y verbal. Nivel avanzado de inglés.¿Cómo haremos la vida y el trabajo más fácil? Trabajo 100% remoto. Configuración de hardware para trabajar desde casa. Horario flexible. Licencias por paternidad y maternidad, vacaciones y feriados pagados. Ambiente laboral diversificado y multicultural. Un entorno innovador con la estructura y los recursos de una multinacional líder. Excelente remuneración - por encima de la media del mercado y tus expectativas. Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",onsite,0,Mexico,2023-03-06,Intermedio,Fulltime,Mexico,23.6585116,-102.0077097
Analista de Gestão Ambiental Jr,Toyota do Brasil,"PRINCIPAIS ATIVIDADES:Assessorar na implementação e manutenção do Sistema de Gestão Ambiental da empresa, reportando os resultados do mesmo à CETESB (Companhia de Tecnologia de Saneamento Ambiental), bem como, efetuando a regularização de licenças junto aos órgãos competentes.Efetuar o controle sobre substâncias químicas encaminhadas a laboratório externo, bem como emissões atmosféricas, e a geração, armazenamento e destinação de resíduos sólidos industriais e a geração, tratamento e descarte de efluentes.Assessorar no planejamento e realização de auditorias do Sistema de Gestão Ambiental (ISO 14001), bem como prestar assistência em casos de emergências ambientais.Assessorar no planejamento e controle de atividades ambientais da planta, coordenando planos de ações ambientais, visando atingir os objetivos e metas corporativas definidas.Cumprir com os procedimentos e normas de operação do Sistema de Gestão Integrado da empresa (ISO 9001. ISO 14001 e OHSAS 18001) nas atividades sob sua responsabilidade.Conduzir, monitorar a implementação e manutenção do Sistema de Gestão Ambiental - SGA da empresa, efetuando a regularização de licenças junto aos órgãos competentes, o controle de substâncias poluentes no que se refere à geração, armazenamento e destinação, bem como, efetuar controle sobre o tratamento de efluentes e descarte.REQUISITOS:Superior completo em Administração, Gestão Ambiental, Eng. Ambiental ou correlatas.Inglês Intermediário (participação de reuniões, apresentações e documentaçâo). Excel intermediário.DESEJÁVEL:Conhecimento em gestão ambiental.Espanhol Intermediário.Informação importante: Contrato de prazo determinado.Local de trabalho: Sorocaba-SP.",onsite,0,Brazil,2023-03-11,0,Fulltime,Brazil,-10.3333333,-53.2
Analista de Estratégia de Dados,Itaú Unibanco,"Sobre a WMS:Em Wealth Management and Services somos responsáveis pela jornada de investimentos dos nossos clientes, olhando desde a gestão de recursos próprios ou de terceiros em Asset Management, Fund of Funds e Kinea, passando pela estruturação e evolução dos nossos produtos e serviços, até o relacionamento com nossos clientes, sejam eles pessoas físicas de alta renda no Private Bank e na assessoria de investimentos Íon, ou clientes institucionais.Sobre o Private:Líder de segmento no Brasil, o Itaú Private Bank é responsável pelo relacionamento com clientes de patrimônio líquido superior a R$ 10MM, provendo as melhores soluções e produtos para nossos clientes. Realiza a gestão de investimentos, oferta de produtos e serviços globais, aconselhamento financeiro, serviços bancários e Wealth Planning.O Analista de estratégia de Dados (Addepar) será responsável pela consolidação das carteiras de clientes na plataforma Addepar, pela emissão pontual dos relatórios consolidados mensais, pela preservação da qualidade dos dados utilizados pela criação dos relatório e pelo suporte aos clientes com qualquer problemática relacionada aos fluxo de dados das próprias contas.Modelo de trabalho: HíbridoResponsabilidades e atribuiçõesUtilizar series de dados complexas para identificar e resolver problemas dos clientes;Oferecer suporte aos clientes internos e externos mantendo um elevado nível de satisfação;Trabalhar com Operações, Produtos, Serviços para garantir a satisfação dos clientes;Contatos com contrapartes externas e deptos internos para identificar a causa raiz de problemas;Suportar clientes internos e externos na utilização da plataforma Addepar ;Conduzir o processo de Onboarding de novos clientes;Acompanhar diariamente múltiplas demandas, estabelecendo prioridades e garantindo a entrega.Requisitos e qualificaçõesCompetências: Atitude de dono , Capacidade analítica , Colaboração , Comunicação escrita , Comunicação verbal , Foco em resultados , Foco na performance , Foco no cliente , Gestão de risco , Indignação construtiva , Lidar com pressão , Motivação em aprender coisas novas , Organização , Paixão por desafios , Proatividade , Raciocínio Lógico , Relacionamento interpessoal , Resiliência e flexibilidade , Senso Crítico , Simplicidade , Trabalho em equipeFormação: Superior CompletoIdioma: Inglês - Avançado (vai participar de reuniões e terá que fazer apresentações com a equipe dos EUA)Tecnologia: ExcelDisponibilidade para viagens internacionaisInformações adicionaisCom quais benefícios vou poder contar?Vale TransporteVale Refeição (Restaurantes) / Vale Alimentação (Supermercados)Convênio médico e odontológicoSeguro de VidaPLR (Mediante resultados do banco)Previdência privadaDescontos exclusivos em nossos produtos financeirosLicença maternidade estendidaAuxílio Creche / Babá (para papais e mamães)Incentivo a estudosGym Pass (Mas se preferir temos Bio Ritmo em alguns polos)Acesso aos Clubes Itaú (Guarapiranga / Itanhaém e São Sebastião)+ Algumas vantagens que você pode conhecer durante o processo 😊O Itaú estimula candidaturas de pessoas com deficiência em todas as nossas posições, sendo assim, sinta-se à vontade para se candidatar em vagas sinalizadas como exclusivas ou não para pessoas com deficiência. Somos comprometidos com a inclusão e valorizamos a diversidade.O Itaú irá utilizar os dados fornecidos para fins de processos seletivos, inclusive em bancos de vagas alocados em plataformas terceiras. Caso deseje solicitar oposição a este uso, ou exercer quaisquer um dos seus direitos, entre em contato através de nossos canais, disponíveis na Política de Privacidade de candidatos do Itaú Unibanco (https://www.itau.com.br/privacidade/candidatos/). Não há necessidade de aceitar, trata-se apenas de uma ciência.Estamos em constante transformação e esperamos que você nos ajude nessa jornada!Se identificou? Quer fazer parte do nosso time? Inscreva-se no nossa oportunidade.#vemproItaúO Itaú irá utilizar os dados fornecidos para fins de processos seletivos, inclusive em bancos de vagas alocados em plataformas terceiras. Caso deseje solicitar oposição a este uso, ou exercer quaisquer um dos seus direitos, entre em contato através de nossos canais, disponíveis na Política de Privacidade de candidatos do Itaú Unibanco (https://www.itau.com.br/privacidade/candidatos/). Não há necessidade de aceitar, trata-se apenas de uma ciência.",onsite,0,Brazil,2023-03-18,0,Fulltime,Brazil,-10.3333333,-53.2
ANALISTA DE DADOS JÚNIOR,Sky.One Solutions,"Quem somos:Somos provedores de plataformas tecnológicas que descomplicam o negócio e melhoram a experiência dos clientes, buscando evoluir a forma como as empresas consomem tecnologia.Nossa missão é trilhar com as empresas o caminho até as nuvens. E, para além delas, por meio da tecnologia levar integração, serviços financeiros e segurança para a rotina de diversos segmentos, como: varejo, serviços, indústria, agronegócio e outras verticais que buscam expansão ou eficiência.Fundada em 2013 e reconhecida como Great Place To Work pelo 4º ano consecutivo, hoje contamos com mais de 360 SkyOwners, responsáveis por fazer nossos mais de 1600 clientes distribuídos em 15 países e 4 continentes operarem seus negócios de forma ágil, inovadora e integrada.Missão da área: Gerenciar os dados da empresa de forma a garantir a disponibilidade, confiabilidade e segurança destes, além de fornecer suporte aos clientes internos por meio de ferramentas de visualização de dados, como dashboards, gráficos, indicadores e relatórios.Responsabilidades e atribuiçõesConstrução de tabelas através de linguagem SQLUtilização de ferramentas de BI para elaboração de gráficos e dashboardsColetar, limpar e estruturar dados de diversas fontesRealizar análises exploratórias de dados para identificar padrões e insights relevantesRealizar testes e validações de modelos e algoritmos para garantir sua eficáciaDesenvolver e manter pipelines de dados para garantir a qualidade e integridade dos dadosIdentificar e reportar anomalias ou problemas nos dados para garantir a confiabilidade das análisesIdentificar oportunidades de melhorias nos processos e sistemas relacionados a dados da empresaColaborar com outras áreas da empresa para entender suas necessidades e requisitos de dadosRequisitos e qualificaçõesExperiência anterior em tratamento de dadosConhecimentos em Excel/Google SheetsLinguagem SQLConhecimento de infraestrutura em banco de dados.Conhecimento em metodologias ágeisPython (Bibliotecas: Pandas, Numpy, Beautiful Soup, SQLAlchemy, Requests entre outras)DesejávelExperiência em extrações de dados via APIConhecimento em ferramentas de visualização de dados, como Tableau, QlikView ou Power BIInglês avançadoFormação:Ensino superior completo ou cursando em Ciência da Computação, Sistemas de Informação, Análise de Sistemas ou Engenharia.Informações adicionaisO que oferecemos:Assistência Médica (Sulamérica)Assistência Odontológica (Sulamérica)Vale Refeição Auxílio CrecheAuxílio IdiomaSeguro de VidaHíbridoSaiba mais:Site: www.skyone.solutionsVídeo InstitucionalComo é trabalhar na Sky.One",onsite,0,Brazil,2023-03-30,0,Fulltime,Brazil,-10.3333333,-53.2
Analista de Dados Júnior,Moot,Requisitos necessários para esse novo desafio: Conhecimentos em SQL (Imprescindivel) para elaboração de relatórios Conhecimentos em Python (Diferencial) Conhecimentos em machine learning (Diferencial) Conhecimentos em QlikSense/PowerBI (Diferencial).BeneficiosFormação Acadêmica:Não informadoExperiênciaSalário:A combinarCargoAnalista de DadosEmpresaMoot ItConsultoria em tecnologia.RamoInformática/ Tecnologia,onsite,0,Brazil,2023-04-12,Semi-senior-Senior,Fulltime,Greater São Paulo Area,-10.3333333,-53.2
