titulo_puesto,empresa,descripcion,modalidad,localidad,experiencia,tipoempleo,pais
Científico de Datos Senior  Trabajo Remoto,BairesDev,BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América Nuestros equipos están conformados por personas de todo el mundo lo que nos permite contar con una fuerte esencia multicultural Para ofrecer constantemente soluciones de la más alta calidad contratamos solo al 1 superior de los mejores talentos y los desafiamos a proyectos emocionantesCientífico de Datos Senior en BairesDevEstamos buscando un destacado Científico de Datos Senior para unirse al Equipo de Investigación y Desarrollo ID de BairesDev Este profesional utilizará datos y técnicas de aprendizaje automático para ayudar al negocio a automatizar y escalar la toma de decisiones principalmente mediante la producción de informes avanzados de análisis de datos y modelos basados en datos para inferir y predecir patronesActividades Principales Ayudar a mejorar el conocimiento de los datos y el entorno analítico general en toda la empresa Manejar datos estructurados y no estructurados utilizando SQL y otros lenguajes de programación Realizar análisis avanzados de datos e informar de los resultados Contar la historia detrás de los datos de una manera convincente para la gente de negocios Crear modelos predictivos y algoritmos de aprendizaje automático Combinar modelos mediante el modelado de conjuntos Proponer soluciones y estrategias para los retos empresariales Ayudar a diseñar y ejecutar experimentos para la comprobación de hipótesis Participar activamente en las discusiones y decisiones relativas a todo el capítulo de Data Science  Data Engineer Colaborar con los gestores de productos de datos para crear productos de datos impresionantes Trabajar con la dirección para priorizar las necesidades de negocio y de información Ayudar a difundir una mentalidad basada en los datos y a mejorar la alfabetización de datos Ser un evangelizador de los datosQué Buscamos 3 años de experiencia en Data Science  Data Engineer aprendizaje automático IA estadística y otras áreas relacionadas Dominio de SQL Dominio de Python R u otro lenguaje de programación importante Excelentes habilidades de comunicación y capacidad para colaborar y establecer relaciones con usuarios no técnicos Sólidos conocimientos de probabilidad y estadística incluido el diseño experimental el modelado predictivo la optimización y la inferencia causal Experiencia práctica con el aprendizaje automático como la clasificación por regresión la agrupación las redes neuronales la selección de características la validación cruzada la maldición de la dimensionalidad el equilibrio entre sesgo y varianza la explicabilidad del modelo la PNL etcDeseable Experiencia en análisis o crecimiento de personas Experiencia con herramientas de visualización de datos Buena comprensión de los retos de ingeniería para el despliegue de sistemas de aprendizaje automático a la producciónCómo haremos la vida y el trabajo más fácil Trabajo 100 remoto Configuración de hardware para trabajar desde casa Horario flexible Licencias por paternidad y maternidad vacaciones y feriados pagados Ambiente laboral diversificado y multicultural Un entorno innovador con la estructura y los recursos de una multinacional líder Excelente remuneración  por encima de la media del mercado y tus expectativas Aquí puedes crecer tan rápido como aprendasNuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo Para continuar siendo la empresa líder en desarrollo de software de América queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso acogedor e innovador Cada persona del equipo aporta algo esencial a BairesDev cuéntanos tu historiaPostúlate ya,onsite,Mexico,Intermedio,Fulltime,Mexico
Analítico  Analítica Junior  Gerencia Auditoria  Tesorería y Mercado de Capitales,Bancolombia,Ubicación Bogotá ó Medellín Colombia Dependencia Gerencia auditoria inv tesorería y mercado de capitalesA través de la analítica creamos capacidades utilizando los datos y tecnologías de la información que permiten la toma de decisiones y el desarrollo de nuevos productos o servicios que entiendan las necesidades de nuestros clientes y usuarios promoviendo así el desarrollo sostenible para lograr el bienestar  Cuál será tu reto Brindarás aseguramiento en temas relacionados con Dominio de conocimiento a nivel corporativo desde la perspectiva de gobierno riesgo y cumplimiento acorde con el conocimiento y estándares internacionales contribuyendo con el mejoramiento continuo en la organización mediante una visión independiente y objetiva Ejecutaras trabajos de aseguramiento relacionados con el Dominio de conocimiento a nivel corporativo identificando el cumplimiento regulatorio y oportunidades de mejora sobre los temas de gobierno riesgo y cumplimiento  Participaras en ejercicios de vigilancia tecnológica para actualizar el conocimiento estándares internacionales y legislaciones nacionales e internacionales en temas relacionados al Dominio de conocimiento a nivel corporativo incorporando conocimiento esquemas de colaboración y desarrollos soportados en la mejora continua de la labor de auditoría  Ejecutaras las metodologías de auditoría relacionadas con el Dominio de conocimiento a nivel corporativo que permitan lograr resultados de mayor cobertura  Brindaras aseguramiento en los procesos e iniciativas del negocio relacionados con el Dominio de conocimiento a nivel corporativo para contribuir con el fortalecimiento del gobierno riesgo y cumplimiento en la Organización  Obtendrás información y conocimiento de las entidades y asociaciones relacionadas con Dominio de conocimiento a nivel corporativo para asegurar la actualización del proceso de auditoría y la adopción de estándares internacionales  Participaras en trabajos colaborativos alineados a la visión de la organización en el tema de Dominio de conocimiento a nivel corporativo desde la perspectiva de gobierno riesgo y cumplimiento  Conceptuaras sobre el cumplimiento en la gestión del gobierno riesgo y control organizacionales relacionados con el Dominio de conocimiento a nivel corporativo  Qué te hará exitosoa en el rol   Profesional en Ingeniería de Sistemas Ingeniería Informática Ingeniería Financiera Estadística Ingeniería Matemática o carreras afines  Certificaciones yo cursos deseables  Conocimientos del perfil Mercado de Capitales  Temas del negocio fiduciario yo comisionistas de bolsa  Experiencia requerida preferiblemente mínimo 1 año en los temas del perfil  Tipo de analítico Puede ser científico o ingeniero de datos  Competencias blandas Iniciativa recursividad autoaprendizaje  Buena capacidad de comunicación trabajo en equipo e ingenio  Excelente relacionamiento  Sentir un interés genuino para brindar un buen servicio al cliente  Manejo de herramientas ofimáticas Excel nivel avanzado  Qué te ofrecemos  Al año recibirás 1412 salarios legales y 428 salarios extralegales garantizados  De acuerdo con los resultados recibirás hasta el 4737 de remuneración variable sobre el salario anual  Hasta 20 días de vacaciones remuneradas  Contratación a término indefinido  Planes de ahorro financiación y exenciones bancarias Seguros de vida y salud  Convenios comerciales educativos culturales deportivos y muchos más Haz clic en aplicar súmate a nuestro propósito y aportaremos juntos al bienestar Anímate a participar ,onsite,Colombia,No corresponde,Fulltime,Colombia
Gerentea Científicoa de Datos,Boehringer Ingelheim,NUESTRA EMPRESAEn Boehringer Ingelheim desarrollamos terapias innovadoras para mejorar la salud de las personas y los animales Como empresa familiar fundada en 1885 Boehringer Ingelheim tiene una perspectiva a largo plazoHoy somos 52000 personas trabajando en todo el mundo fomentando una cultura diversa colaborativa e inclusiva Creemos que si tenemos personas talentosas y ambiciosas apasionadas por la innovación no hay límite para lo que podemos lograrLa posiciónProporcionar ideas recomendaciones y soluciones al negocio a partir de la interpretación de múltiples fuentes de información usando una diversidad de técnicas de big data minería de datos machine learning y técnicas avanzadas de análisis ayudando a la organización en tomar sus decisiones basadas en informaciónTareas y responsabilidades Realiza el análisis de diversas fuentes de información con técnicas avanzadas para generar insights y modelos que ayuden a la organización a tomar sus decisiones y medir sus riesgos Colabora con diversas áreas de la compañía en encontrar soluciones a problemas críticos tales como targeting y segmentación de clientes optimización de recursos estimación de tendencias impacto de acciones comerciales y promocionales etc usando técnicas avanzadas de análisis para automatizar y optimizar diversos procesos de la compañía Propone algoritmos y modelos que ayuden a mejorar el impacto de las interacciones promociones y acciones con nuestros clientes para mejorar su experiencia y aumentar su engagement Implementa modelos para estimar el comportamiento de las principales tendencias del negocio mediante modelos de regresión Bayesianos y series de tiempo para fortalecer el proceso de planeación y disminuir la incertidumbreRequisitosExcluyentes Profesionales con título y cédula en Licenciatura en matemáticas matemáticas aplicadas actuaria o economía Poseer entre 3 y 5 años de experiencia en manejo y administración de proyectos crossfuncionales Conocimiento avanzado en técnicas de big data estadística manejo de grandes volúmenes de información machine learning SQL R Poseer entre 3 y 5 años de experiencia en puestos de liderazgo en ciencia de datos Nivel de inglés avanzadoDeseables Posgrado en ciencias de datos Conocimiento en Python Conocimiento en metodología ágilPor qué Boehringer IngelheimCon nosotros puede crecer colaborar innovar y mejorar vidasOfrecemos un trabajo desafiante en un ambiente de trabajo global respetuoso y amigable rodeado de un mundo de mentalidades y prácticas impulsadas por la innovación Además el aprendizaje y el desarrollo para todos los empleados es clave porque su crecimiento es nuestro crecimientoEn Boehringer Ingelheim apoyamos y valoramos la diversidad y estamos en contra de cualquier tipo de discriminaci ón ,onsite,Mexico,No corresponde,Fulltime,Mexico
Científico de datos,Colfondos S.A.,Misión Diseñar desarrollar e implementar análisis descriptivos y predictivos sobre clientes segmentos productos y universos claves de información y liderar el desarrollo de casos de uso analítico que permitan aumentar la rentabilidad y encontrar oportunidades de negocios de acuerdo con la estrategia de ColfondosFormación académica Profesional en Estadística Matemática Ingeniería de sistemas Ingeniería Industrial Economistas o carreras afines con conocimiento probado en estadística analítica ciencia de datos o inteligencia artificial Preferiblemente con postgrado en Estadística Analítica Ciencia de datos o Inteligencia artificialExperiencia 2 años de experiencia en implementar modelos analíticos yo predictivos manejo de técnicas que permitan identificar patrones minería de datos diseño de modelos de datos y dashboarding,onsite,Colombia,Algo de responsabilidad,Fulltime,Colombia
Cientifico de Datos,Yuma CapHum,Esta vacante viene de la bolsa de empleo TalentecacomVacante para la empresa Yuma Capital Humano en Tlalpan Ciudad de MéxicoUrgente Científico de DatosRequisitosLic Actuaria matemáticas sistemas Física economía o carreras a finesExperiencia mínima 1 añoConocimientos R o Python Tableu o Power BI Uipath AlteryxRequisitosAnálisis extracción y limpieza de datosconstrucción de tableros InformativosAutomatización de procesosGeneración de modelos analíticos descriptivos y predictivosGeneración KPIsPropuesta de mejora a los desarrollosImplementación de modelos para la prevención de fraudeOfrecemosSalario 20000 neto a 32000 neto  prestaciones de ley con base a experiencia y dominio de conocimientos técnicosLugar de trabajo TlalpanHorario Lunes a viernes 9 am 7 pm PRESENCIALPlan CarreraNivel De Educación DeseadaSuperior  tituladoNivel De Experiencia DeseadaNivel MedioFunción DepartamentalTecnología  InternetIndustriaComercio al por menor  Minorista o RetailEsta Vacante Viene De La Bolsa De Empleo Talentecacomhttpswwwtalentecacommexicoempleotlalpantecnologiainternetcientificodedatos6435badf2c00006b00f67082t2sourcelinkedin,onsite,Mexico,Algo de responsabilidad,Fulltime,Mexico
Científico de Datos,Mibanco Colombia,Únete a la institución N1 en microfinanzas de Latinoamérica y el Caribe y la N2 a nivel mundialEn Mibanco el banco especializado en microfinanzas del Grupo Credicorp tenemos el propósito de transformar las vidas de los colombianos a través de la inclusión financiera Por ello nos encontramos en búsqueda de una persona apasionada por el logro de metas que le guste trabajar con los pequeños empresarios del paísPor qué trabajar con nosotrosTrabajarás con los mejores equipos en un entorno diverso y dinámico Ofrecemos sueldo competitivo y un excelente ambiente laboral entretenido dinámico y desafiante Esperamos que puedas aprender y que nosotros también podamos aprender de tiRequisitos Profesionales de Estadística Ing Sistemas Economía o carreras afines con experiencia mínima de 5 años elaborando modelos analíticosMisión del Cargo Responsable de brindar soporte a las diferentes áreas del negocio para la prevención y detección de fraudes gestión de riesgos crecimiento y alcance de clientesConocimientos EspecíficosSQL o PL_SQL AvanzadoR Python AvanzadoConocimiento de una variedad de técnicas de aprendizaje automático agrupación aprendizaje de árbol de decisiones redes neuronales artificiales etc y sus ventajas  desventajas en el mundo realPower Bi o Tablea u Avanzado,onsite,Colombia,Intermedio,Fulltime,Colombia
Científico de Datos,Compensar,Buscamos gente como tú con experiencia liderando y desarrollando el avance de iniciativas de analítica y apoyando el desarrollo de capacidades analísticas para negocios para ocupar el cargo de Científico de Datos quien tendrá como objetivo del cargo asegurar técnicamente el desarrollo de los proyectos de analítica que emprenda el negocio garantizando la sostenibilidad e impacto de los análisis estadísticos a través de la implementación y monitoreo de metodologías que permitan la unificación de la información para así generar modelos predictivos prescriptivos y de optimización con el fin de contribuir a la toma de decisiones Debes contar con formación académica profesional en ingeniería industrial estadística economía matemáticas física o carreras afines con especialización en temas relacionados con ciencia de datos o sistemas de información conocimientos en machine learning Deep learningPhyton SQL Databricks Azure ML Apache Spark Tableau Power BI y Rstudio 3 años de experiencia en data management y modelos de analítica avanzada Tenemos para esta vacante una jornada laboral de lunes a viernes 40 horas semanales teletrabajo contrato laboral a término indefinido directo con Compensar y salario de  10217100  beneficios extralegales Postúlate ahora y haz parte de la generación C,onsite,Colombia,Algo de responsabilidad,Fulltime,Colombia
Cientifico de datos IA,Fundación Cardiovascular de Colombia,La Fundacion Cardiovascular de Colombia requiere para su equipo de trabajo Cientifico de datos o Ingeniero de sistemas o electronico con especializacion en ciencia de datos Preferiblemente con 3 anos de experiencia en minado de datos y creacion de modelos predictivos de machine learning yo Deep learning debe contar con buen conocimiento en herramientas ofimaticasObjetivo del cargo Definir y desarrollar la estrategia de procesos y proyectos de inteligencia artificial y analitica avanzada del ecosistemaFCV en concordancia con la estrategia corporativa del ecosistema FCV proporcionando soporte a la toma de decisionesdentro de la organizacion,onsite,Colombia,Sin experiencia,Fulltime,Colombia
CIENTÍFICO A DE DATOS,Grupo Xcaret,Encuentra la oportunidad de tus XueñosSomos una empresa 100 mexicana líder en el sector turístico y de aventura en donde se combina el respeto por la naturaleza con el amor por México Brindamos a cada uno de nuestros huéspedes y visitantes momentos únicos en medio de paisajes espectaculares complementados con experiencias llenas de la riqueza cultural que distingue a nuestro paísCientífico a de DatosEscolaridadLicenciatura en Ingeniería en sistemas Ingeniería de Datos Matemáticas o afínExperiencia y ConocimientosBig Data  Diseño y Estructura de Bases de Datos Extracción  minería de datos Limpieza y transformación de datos Desarrollo de algoritmos y modelos estadísticos Desarrollo de escenarios de entrenamiento  Diseño implementación y modelado de datos  Modelos predictivos Modelos de rentabilidad Clustering y técnicas de clasificación Competencias Vocación de servicio para la obtención de resultados Alineación a la misión y visión Compromiso con la comunidad Conocimiento organizacional y entendimiento del concepto Desarrollo mentoría y Propósito Diversidad e inclusión Entendimiento interpersonal Equilibrio PersonalPrestaciones y beneficios para colaboradores Prestaciones Superiores a las de Ley Vales de Despensa Restaurante de Colaboradores Transporte Uniformes Formación Continúa Oportunidades de Desarrollo Bono de Puntualidad y Asistencia Apoyo de movilidadHagamos más feliz al planetaPOXTÚLATE AHORA,onsite,Mexico,Sin experiencia,Fulltime,Mexico
Científico de datos,Trabajo Joven Sí Hay,Importante empresa del sector informático requiere profesional con mínimo 5 anos de experiencia profesional en modelos de inteligencia artificial o analítica Big Data  Requerido profesional ya graduado en Ingeniería matemáticas física o estadística  Requerido Postgrado también en Ingeniería matemáticas física o estadística,onsite,Colombia,Sin experiencia,Fulltime,Colombia
