titulo_puesto,empresa,descripcion_puesto,modalidad,salario,localidad,fecha_posteo,nivel_de_experiencia,tipo_empleo,pais
Analista de Dados - Soluções de Investimentos,Itaú Unibanco,"Venha fazer parte do time de Analytics dentro da comunidade de soluções de investimentos do maior banco da América Latina.Trabalhamos no modelo Agile, onde equipes multidisciplinares constroem soluções centradas nas necessidades dos nossos clientes.Atuamos em diversos projetos agregando e fomentando a cultura de dados nas decisões tomadas diariamente.Responsabilidades e atribuiçõesMapeamento de tagueamentos em jornadas digitais de investimentos;Criação de documentação de tagueamento;Homologação de disparo dos tagueamentos;Criação de dashboards das interações nos canais digitais.Requisitos e qualificaçõesCompetências: Atitude de dono , Capacidade analítica , Colaboração , Comunicação escrita , Comunicação verbal , Indignação construtiva , Motivação em aprender coisas novas , Organização , Proatividade , Raciocínio Lógico e Trabalho em equipeTecnologia: Google Analytics e Data StudioDiferencial: Testes AB, SQL , Python e TableauInformações adicionaisEstamos em constante transformação e esperamos que você nos ajude nessa jornada!Se identificou? Quer fazer parte do nosso time? Inscreva-se no nossa oportunidade.#vemproItaúO Itaú irá utilizar os dados fornecidos para fins de processos seletivos, inclusive em bancos de vagas alocados em plataformas terceiras. Caso deseje solicitar oposição a este uso, ou exercer quaisquer um dos seus direitos, entre em contato através de nossos canais, disponíveis na Política de Privacidade de candidatos do Itaú Unibanco (https://www.itau.com.br/privacidade/candidatos/). Não há necessidade de aceitar, trata-se apenas de uma ciência.",onsite,0,Brazil,2023-03-01,0,Fulltime,Brazil
Talento B - Ingeniería de Datos,Bancolombia,"📍 Convocatoria abierta para Medellín, Bogotá, Barranquilla y Cali.En Bancolombia creemos en el talento joven y la transformación de la sociedad a través del aprendizaje y las oportunidades. Por eso, Talento B es un programa donde formamos apasionados por la ingeniería de datos, mediante la participación en proyectos y retos reales de la organización 🚀.A través de la analítica creamos capacidades utilizando los datos y tecnologías de la información que permiten la toma de decisiones y el desarrollo de nuevos productos o servicios que entiendan las necesidades de nuestros clientes y usuarios, promoviendo así el desarrollo sostenible para lograr el bienestar 🌍Si te conectas con este propósito, aquí te contamos más:¿Cuál será tu reto? 🤩Como Talento B tendrás la oportunidad de aportar tus ideas y conocimientos en soluciones a necesidades de las personas, inspirar a otros y a la vez, fortalecerás tus habilidades a través del acompañamiento de expertos. Extraerás, transformarás, conocerás y desplegarás datos.  Automatizarás datos.  No te preocupes… no estarás solo en este reto, contarás con el acompañamiento de tu mentor y cursos para fortalecer estos conocimientos. ¿Qué te hará exitoso/a en el programa? 🤟Indispensables: 👉 Pasión y curiosidad por la analítica.  Buscamos que tus ganas de aprender o tu carrera te hayan dado unos conocimientos base en: lógica de programación en Java o Phyton, conocimientos básicos en machine learning y estadística.  No es necesario que cuentes con experiencia laboral, pero pilas, debes ser mayor de edad, vivir en Medellín, Bogotá, Barranquilla y Cali, y si ya has empezado tu vida laboral, esta no debe superar los 2 años.  Tu formación académica o los cursos que has realizado estén relacionados con: estadística, ingeniería de sistemas, ingenierías, matemáticas o economía. Ideales: ⭐ Conocimientos base en otros lenguajes de programación. ¿Qué te ofrecemos? Al año recibirás 14,12 salarios legales y 4,28 salarios extralegales garantizados.  Contratación a término definido por 6 meses con posibilidad de prórroga.  Jornada medio tiempo.  Exenciones bancarias.  Convenios comerciales, educativos, culturales, deportivos ¡y muchos más!  Acceso a cursos relacionados con analítica en plataformas virtuales, para que sigas fortaleciendo tus conocimientos y des lo mejor de ti en la solución del reto.  El acompañamiento de un experto en temas de analítica, para que te asesore en temas del reto y acompañe tu desarrollo personal.  Flexibilidad horaria.  Oportunidad para que pongas a prueba todos tus conocimientos, conozcas el mundo laboral y si das todo de ti te puedas quedar con nosotros en uno de nuestros cargos.  Haz clic en aplicar súmate a nuestro propósito y aportaremos juntos al bienestar. ¡Anímate a participar! 🚀",onsite,0,Colombia,2023-03-28,Sin experiencia,Fulltime,Colombia
Ingeniero de datos JR,axity,"Company Description: Axity Job Description: Ingeniero de datos JR Axity, Somos una compañía con más de 35 años de trayectoria nuestro portafolio de servicios es uno de los más grandes en la industria: Estrategia Digital, Desarrollo de Software, Bussiness Intelligence, Big Data, Analítica Avanzada, Seguridad, IOT. Estamos buscando un perfil Data Engineer junior que sepa programación en Python y que quiera comenzar a desarrollarse en el área de data science. El candidato ideal debe tener una formación en ciencias de la computación o informática, así como experiencia práctica con herramientas de análisis de datos, python y bases de datos relacionales. Será responsable del desarrollo y mantenimiento de soluciones para el procesamiento, almacenamiento y análisis de datos. Las responsabilidades incluyen:Diseñar e implementar soluciones para el procesamiento, almacenamiento y análisis de datos.Desarrollar scripts para automatizar tareas relacionadas con el procesamiento y análisis de datos.Trabajar con equipos internos para comprender los requisitos del negocio y diseñar soluciones adecuadas.Realizar pruebas unitarias y validaciones para garantizar la calidad del código desarrollado.Documentar todos los procesos relacionados con el trabajo realizado. Requisitos:Licenciatura en Ciencias de la Computación, Ingeniería informática o un campo relacionadoExperiencia práctica con herramientas de análisis de datos (por ejemplo, Python, R).Conocimientos en programación en PythonConocimiento profundo sobre bases de datos relacionales (por ejemplo, PostgreSql).Conocimiento sobre bases de datos No relacionales (por ejemplo, MongoDb)Excelentes habilidades analíticas y de resolución de problemas Se ofreceContrato a plazo fijo 2 meses y continuidad indefinida (beneficios asociados) Modalidad de trabajo hibrida.",onsite,0,Chile,2023-02-03,Intermedio,Fulltime,Chile
Analista de Dados Junior,Nosso - Inteligência Digital Aplicada,"RESPONSABILIDADES E ATRIBUIÇÕESAcompanhamento e construção de bases de informação para cálculo de faturamento, repasses e alimentação de dashboards;Auditar fórmulas e dados lançados nas planilhas de controle.REQUISITOS E QUALIFICAÇÕESConhecimento em Excel Avançado e Python Intermediário;Experiências em Faturamento, Fiscal ou Auditoria serão um diferencial.O QUE ESPERAMOS DE VOCÊ?Perfil analítico;Boa comunicação;Organização.INFORMAÇÕES ADICIONAISSalário: R$ 2.354,00 a 2.854,00Benefícios: Vale refeição ou alimentação; Vale transporte; Assistência médica; Assistência odontológica; Gympass; Descontos em farmácias, exames e lojas parceirasNo dress code, ginástica laboral e um ambiente agradável para você se sentir em casa!Horário: Segunda a Sexta 09h às 18h.Local: Águas Claras - Brasília/DFSe você é essa pessoa, junte-se a NOSSO!",onsite,0,Brazil,2023-03-29,0,Fulltime,Brazil
Analista de Dados Júnior,Atacadão Dia a Dia,"Interpretar dados, analisar resultados e utilizar técnicas estatísticas, desenvolver e implementar análises de dados, sistemas de coleta de dados e outras estratégias que otimizem a eficiência e a qualidade estatística, obter dados de fontes primárias ou secundárias e manter bancos de dados. Graduação ou pós-graduação em Tecnologia da Ciência da Computação, Análise e Desenvolvimento de Sistemas, Tecnologia da Informação, Engenharia da Computação, ou áreas afins.",onsite,0,Brazil,2023-04-11,Semi-senior-Senior,Fulltime,Brazil
Analytics Engineer Jr,Tabas,"At Tabas, we want to reshape the global real estate and rental market. We believe innovation is no more about marketplaces. It is about tech-enabled business models that provide end-to-end control over the customer experience, with a full-stack approach.Through tech-enabled operational efficiency and a strong focus on customer needs, we rent, renovate, and provide beautifully-designed and fully-furnished apartments to serve final customers, corporates and professionals, with all the flexibility they need. Because nothing is like home!We are looking for a (Junior) Analytics Engineer who will become part of the Data Engineering and Analytics Team. We are result-oriented and have a broad knowledge of modern tech stacks (DBT, Google Composer, Airflow, Kubernetes, Python, SQL, ETL/ELT).Responsabilidades e atribuiçõesDefine business logic in our Data Warehouse and Google Data Studio (Looker)Evaluate business needs and goals and how company data relates to themHave knowledge about analytical tools integrated with data pipelinesHelp stakeholders in their decision making process by providing them quality data and dashboard with good storytelling skillsTake responsibility for your products, be proactive to develop yourself personally and professionallyRequisitos e qualificaçõesAt least one year of working experience in the Data Field (Data Analyst, Analytics Engineer, Data Engineer)Relevant experience with data language SQL (Python is a plus)Familiarity with Google Data Studio (Looker) or other data visualization toolFamiliarity with Docker, Cloud, Airflow and ETL/ELT processes are a plusStrong logical, analytical and data storytelling skillsAbility to balance attention to detail with swift executionTeam player, intellectually curious and self motivatedInformações adicionaisMeal/Food voucher: Caju card of R$33.00 per day (no payroll discount);Transportation voucher based on your route to the office (with 3% discount);Health Care Amil - We offer 3 options plans and you can choose which one fits better with your needs (with co-participation);Dental Plan Amil (without co-participation);Daycare allowance for employees with children up to 5 years old;For your Physical Health, we have TotalPass, our gym benefit;For your Emotional Health, we have the Moodar platform;Partnership with Hyper English (Cultura Inglesa) for an English course;Flexible Holidays (from 6 months onwards you are entitled to proportional holidays);25% discount when using Tabas apartments;Once a month we have a celebration the Taber's Birthdays;Birthday Day Off + gift card paid on the Caju card, to make your day even special;Our workplace has a cinema room, spaces for decompression and an equipped kitchen;In the condominium we have a Ifood Box, Full Kitchen and Lunch Room.",onsite,0,Brazil,2023-03-17,0,Fulltime,Brazil
Software Engineer,LinkedIn,"The ideal candidate will help build, maintain, and troubleshoot, the company's rapidly expanding infrastructure. They will work alongside other engineers to ensure highest levels of performance and ability, and manage any problems that arise.   ResponsibilitiesManage and monitor installed systems Test and maintain operation systems Monitor application performanceQualificationsBachelor's degree in Computer Science or related field Experience in configuring, monitoring and troubleshooting systems Strong scripting and technical skills",onsite,0,Brazil,2023-03-24,Diretor,Fulltime,Brazil
Analista de Dados Pleno,Daki,"A Daki nasceu para revolucionar o delivery de mercado. O que antes alguém recebia em horas ou dias, agora recebe em minutos!Mais que entregar rápido, buscamos entregar uma experiência incrível para os nossos clientes. Buscamos aquele ""UAU"" de quando o cliente recebe muito antes do que esperava.E tudo começa muito antes da montagem do pedido, na verdade, começa bem aqui.De quem precisamosNós estamos procurando Data Analyst para se juntar à nossa crescente equipe de Data and Analytics (D&A). Sua função é incorporar análise de dados e inteligência de negócios em uma ou mais funções de negócios. Você trabalhará com as partes interessadas de negócios para traduzir as necessidades deles em requisitos de dados, criar roteiros para entregas, criar KPIs, painéis, análises, alertas e outros produtos de dados.Data & Analytics TeamA equipe de Data & Analytics é uma equipe multidisciplinar de engenheiros de dados, analistas e cientistas que lideram a estratégia geral de dados e análises da Daki. Desenvolvemos continuamente novos serviços de dados, APIs, análises, relatórios, ferramentas e outros produtos de dados. Além de construir e manter serviços de dados, também atuamos como treinadores e consultores em toda a organização. Cada membro da equipe traz algo único para a mesa e, em combinação com uma forte liderança técnica e comercial, você trabalhará em uma equipe preparada para o sucesso. Nossa ambição é nada menos do que construir a melhor organização de dados e análises no setor de varejo.Responsabilidades e atribuiçõesTrabalhar com partes interessadas de negócios para criar um roteiro de análise de dados e inteligência de negócios,Trabalhe com grandes quantidades de dados de dezenas de fontesDefinir KPIs para medir o desempenho operacional e apoiar a tomada de decisão diáriaCrie relatórios e alertas padrão e em tempo real, análises de negócios e casosEntenda a dinâmica por trás dos dados e traduzir a história do usuário por trás dos pontos de dadosTrabalhe com Data Engineering e Data Science em projetos multifuncionais onde você traz sua área de especializaçãoPromova e habilite nossos recursos de autoatendimento, permita que “analistas de dados cidadãos” promovam uma cultura de dadosCrie modelos de dados e tabelas para nossa plataforma de dados e análisesTrabalhe com uma data stack moderna (Looker, Snowflake, Stitch, Rockset, PubSub, Superset, Airflow, Python)Requisitos e qualificaçõesTeam playerMais de 2 anos de experiência relevante em um ambiente de alto crescimentoBons conhecimentos de SQL, visualização de dados e ferramentas de BIÓtimas habilidades de comunicação e gerenciamento de tempoAnálise de dados com Python é uma vantagem (pandas, numpy, jupyter notebooks)Conhecimento dos conceitos de Modelagem de Dados e Data Warehousing é um diferencialUma atitude pró-ativa, com vontade de questionar o status quoInglês - Diferencial Informações adicionaisEstamos em crescimento: Nossa forma de trabalho é hibrido, permitindo que o Dakier atue de forma remota e presencial;Somos Modernos: por meio de um cartão de crédito da bandeira Mastercard, você recebe o vale refeição. Dando mais liberdade ao Dakier de como utilizar;Transporte: realizamos o deposito direto no VT de acordo com a necessidade de passagem do Dakier até a unidade;Saúde: Hoje disponibilizamos para o nosso Dakier a Assistência Médica e odontológica;Mimo: Nossos Dakier tem desconto de 10% em todas as compras feitas em nosso do APP.",onsite,0,Brazil,2023-04-12,0,Fulltime,Brazil
Analista de Dados,Boa Safra,"MISSÃO DO CARGOResponsável por realizar a construção e cruzamento de bases, analises de CRM, metas, rotinas de KPI's. Apoiando a gestão e execução do plano de acesso ao mercado, analise de mercado políticas comerciais e projetos de marketingRESPONSABILIDADESConstrução de bases de dados e análises com execução, cruzamentos e tratativas de clientes, portfólio, metas e acompanhamentos diários de resultados.Apoio na definição do plano de vendas, metas, volumes e das tabelas de preços para portfólio e tratamentos.Acompanhamento das metas de Portfólio – volumes, ticket médio e direcionamento nos mercados, além de aplicação de pesquisas de preço. Conexão com dados de mercado externo – potencial, concorrência e share.Execução Plano de Acesso ao Mercado – análises, implementação, rotinas e controle de políticas.CRM – Uso e direcionamento para equipes de marketing (análises de funil e bases).INFORMAÇÕES COMPLEMENTARESEscolaridade: Formação ensino superior em Administração, Contábil, Marketing, Matemática ou áreas afins.Conhecimento: Avançado em Excel, data analytics, database, banco de dados e dashboards e desejável - conhecimento do conceito CRM.Local de trabalho: Formosa - GO.",onsite,0,Brazil,2023-04-13,Ayudante,Fulltime,Brazil
Data Engineer/Big Data – Contrato Indefinido.,BC Tecnología,"Company Description: BC Tecnología Job Description: Al menos 3 años de experiencia en:Investigar, ejecutar y analizar pruebas de conceptos de nuevas tecnologías de Big Data y analítica, minimizando la incertidumbre y proporcionando mayor información a los equipos para una mejor toma de decisiones.Implementar y/o soporta herramientas que apoyen al área de gobierno de datos, preocupándose de la privacidad, la seguridad y la calidad de los mismos.Definir y gestionar lineamientos sobre arquitecturas, buenas prácticas y herramientas relacionadas al manejo y análisis de los datos.Implementar y/o soportar herramientas de Big data a través de la automatización.Diseñar, desarrollar y mantener todo el proceso de integración de datos, desde la creación, el procesamiento y el almacenamiento de estos.Escribir código de calidad utilizando el lenguaje de programación seleccionado y cumpliendo los requisitos comerciales, técnicos y de datos.Modalidad: Hibrida (Remoto con posibilidad de ir 2 veces al mes a oficina ubicada en Huechuraba)Bilingüe (Ingles Avanzado) Interesados o referidos favor enviar cv actualizado a [email] indicando en asunto de e-mail cargo al cual postula (Data Engineer/Big Data)",onsite,0,Chile,2023-04-11,Sin experiencia,Fulltime,Chile
